1,岩瀬 佑美子,IWASE Yumiko,乃木坂46◢,1990.06.12 (34歳),埼玉県,A型,153cm,1期,,
2,深川 麻衣,FUKAGAWA Mai,乃木坂46◢,1991.03.29 (33歳),静岡県,O型,162cm,1期,,
3,松井 玲奈,MATSUI Rena,乃木坂46◢,1991.07.27 (33歳),愛知県,O型,162cm,留学,,
4,新内 眞衣,SHINUCHI Mai,乃木坂46◢,1992.01.22 (32歳),埼玉県,B型,165cm,2期,,
5,白石 麻衣,SHIRAISHI Mai,乃木坂46◢,1992.08.20 (32歳),群馬県,A型,162cm,1期,,
6,松村 沙友理,MATSUMURA Sayuri,乃木坂46◢,1992.08.27 (32歳),大阪府,B型,164cm,1期,,
7,衛藤 美彩,ETO Misa,乃木坂46◢,1993.01.04 (31歳),大分県,AB型,163cm,1期,,
8,橋本 奈々未,HASHIMOTO Nanami,乃木坂46◢,1993.02.20 (31歳),北海道,B型,163cm,1期,,
9,安藤 美雲,ANDO Mikumo,乃木坂46◢,1993.05.21 (31歳),神奈川県,O型,156cm,1期,,
10,伊藤 かりん,ITO Karin,乃木坂46◢,1993.05.26 (31歳),神奈川県,O型,153cm,2期,,
11,斉藤 優里,SAITO Yuuri,乃木坂46◢,1993.07.20 (31歳),東京都,O型,157cm,1期,,
12,秋元 真夏,AKIMOTO Manatsu,乃木坂46◢,1993.08.20 (31歳),埼玉県,B型,154cm,1期,,
13,宮澤 成良,MIYAZAWA Seira,乃木坂46◢,1993.10.29 (30歳),千葉県,O型,166cm,1期,,
14,高山 一実,TAKAYAMA Kazumi,乃木坂46◢,1994.02.08 (30歳),千葉県,A型,162cm,1期,,
15,桜井 玲香,SAKURAI Reika,乃木坂46◢,1994.05.16 (30歳),神奈川県,A型,155cm,1期,,
16,永島 聖羅,NAGASHIMA Seira,乃木坂46◢,1994.05.19 (30歳),愛知県,O型,158cm,1期,,
17,西野 七瀬,NISHINO Nanase,乃木坂46◢,1994.05.25 (30歳),大阪府,O型,159cm,1期,,
